#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_007880.1",26372,27292,"-",,"pyrB","FTL_RS00145","WP_003013928.1",306,"aspartate carbamoyltransferase"
"chromosome","NC_007880.1",27434,30718,"-",,"carB","FTL_RS00150","WP_003017580.1",1094,"carbamoyl-phosphate synthase large subunit"
"chromosome","NC_007880.1",30723,31889,"-",,"carA","FTL_RS00155","WP_003013939.1",388,"glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit"
"chromosome","NC_007880.1",32306,33361,"+",,,"FTL_RS00160","WP_003013942.1",351,"histidine-type phosphatase"
"chromosome","NC_007880.1",33485,34165,"-",,,"FTL_RS00165","WP_003013943.1",226,"thiopurine S-methyltransferase"
"chromosome","NC_007880.1",34297,35643,"+",,,"FTL_RS00170","WP_003013946.1",448,"dihydroorotase"
"chromosome","NC_007880.1",35671,36711,"-",,,"FTL_RS00175","WP_010032341.1",346,"STAS-like domain-containing protein"
"chromosome","NC_007880.1",37248,37526,"+",,,"FTL_RS00185","WP_003013954.1",92,"hypothetical protein"
"chromosome","NC_007880.1",37915,38466,"+",,,"FTL_RS00190","WP_003013956.1",183,"DUF1415 domain-containing protein"
"chromosome","NC_007880.1",38582,39634,"-",,,"FTL_RS00195","WP_010032336.1",350,"FUSC family protein"
"chromosome","NC_007880.1",39621,40586,"-",,,"FTL_RS00200","WP_003013961.1",321,"HlyD family secretion protein"
"chromosome","NC_007880.1",40675,41082,"-",,,"FTL_RS00205","WP_003013963.1",135,"DUF3568 family protein"
"chromosome","NC_007880.1",41208,42077,"+",,,"FTL_RS00210","WP_003013965.1",289,"LysR family transcriptional regulator"
"chromosome","NC_007880.1",42078,42722,"-",,,"FTL_RS00215","WP_042536555.1",214,"heme-binding protein"
"chromosome","NC_007880.1",43704,44252,"+",,,"FTL_RS00225","WP_003013968.1",182,"chorismate mutase"
"chromosome","NC_007880.1",44307,47681,"-",,,"FTL_RS00230","WP_003013970.1",1124,"transglutaminase family protein"
"chromosome","NC_007880.1",47960,48592,"+",,"pyrF","FTL_RS00235","WP_003013972.1",210,"orotidine-5\\'-phosphate decarboxylase"
"chromosome","NC_007880.1",48594,49340,"+",,,"FTL_RS00240","WP_003013974.1",248,"diguanylate cyclase"
"chromosome","NC_007880.1",49699,49869,"-",,,"FTL_RS00245","WP_011457334.1",56,"hypothetical protein"
"chromosome","NC_007880.1",49873,50535,"-",,,"FTL_RS00250","WP_003013976.1",220,"prephenate dehydrogenase/arogenate dehydrogenase family protein"
"chromosome","NC_007880.1",50803,51240,"-",,,"FTL_RS00255","WP_003017627.1",145,"D-tyrosyl-tRNA(Tyr) deacylase"
"chromosome","NC_007880.1",52734,53273,"-",,,"FTL_RS11030","WP_003013979.1",179,"GH32 C-terminal domain-containing protein"
"chromosome","NC_007880.1",53270,54436,"-",,,"FTL_RS11035","WP_042536558.1",388,"hypothetical protein"
"chromosome","NC_007880.1",54408,55288,"-",,,"FTL_RS10105","WP_011457329.1",293,"MULTISPECIES: IS630 family transposase"
"chromosome","NC_007880.1",55312,55863,"-",,,"FTL_RS00285","WP_003013986.1",183,"hypothetical protein"
"chromosome","NC_007880.1",56134,56799,"-",,,"FTL_RS00295","WP_003013990.1",221,"nitroreductase"
"chromosome","NC_007880.1",57202,57894,"+",,,"FTL_RS00300","WP_003013992.1",230,"DUF1275 domain-containing protein"
"chromosome","NC_007880.1",57891,59096,"-",,,"FTL_RS00305","WP_003013996.1",401,"amino acid transporter"
"chromosome","NC_007880.1",59196,59813,"+",,"rsmG","FTL_RS00310","WP_003013997.1",205,"MULTISPECIES: 16S rRNA (guanine(527)-N(7))-methyltransferase RsmG"
"chromosome","NC_007880.1",59810,60478,"+",,,"FTL_RS00315","WP_003013999.1",222,"YggS family pyridoxal phosphate-dependent enzyme"
"chromosome","NC_007880.1",60471,61355,"-",,,"FTL_RS00320","WP_003014001.1",294,"FUSC family protein"
"chromosome","NC_007880.1",62556,63692,"+",,,"FTL_RS00330","WP_003014006.1",378,"multidrug effflux MFS transporter"
"chromosome","NC_007880.1",66214,66810,"+",,,"FTL_RS00340","WP_003014015.1",198,"SIS domain-containing protein"
"chromosome","NC_007880.1",66818,67174,"+",,,"FTL_RS00345","WP_003014017.1",118,"outer membrane protein assembly factor BamE"
"chromosome","NC_007880.1",67248,67520,"-",,"rpsT","FTL_RS00350","WP_003014020.1",90,"30S ribosomal protein S20"
"chromosome","NC_007880.1",67790,69574,"+",,"lepA","FTL_RS00355","WP_003014022.1",594,"elongation factor 4"
"chromosome","NC_007880.1",69588,70667,"+",,"mnmA","FTL_RS00360","WP_010032231.1",359,"tRNA 2-thiouridine(34) synthase MnmA"
"chromosome","NC_007880.1",70687,71679,"-",,,"FTL_RS00365","WP_003014029.1",330,"hypothetical protein"
"chromosome","NC_007880.1",71761,72279,"-",,"def","FTL_RS00370","WP_003014032.1",172,"peptide deformylase"
"chromosome","NC_007880.1",72282,72725,"-",,,"FTL_RS00375","WP_003014034.1",147,"6,7-dimethyl-8-ribityllumazine synthase"
"chromosome","NC_007880.1",72735,73946,"-",,"ribB","FTL_RS00380","WP_003014037.1",403,"3,4-dihydroxy-2-butanone-4-phosphate synthase"
"chromosome","NC_007880.1",73939,74544,"-",,,"FTL_RS00385","WP_003014040.1",201,"riboflavin synthase"
"chromosome","NC_007880.1",74537,75604,"-",,"ribD","FTL_RS00390","WP_003014043.1",355,"bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD"
"chromosome","NC_007880.1",76775,77604,"-",,,"FTL_RS10115","WP_011457338.1",276,"IS630 family transposase"
"chromosome","NC_007880.1",78577,79092,"-",,,"FTL_RS00415","WP_003014051.1",171,"cytochrome b/b6 domain-containing protein"
"chromosome","NC_007880.1",80142,81293,"+",,"nhaA","FTL_RS00425","WP_003014054.1",383,"Na+/H+ antiporter NhaA"
"chromosome","NC_007880.1",81358,82077,"+",,,"FTL_RS00430","WP_011457339.1",239,"endonuclease/exonuclease/phosphatase family protein"
"chromosome","NC_007880.1",82083,82823,"-",,,"FTL_RS00435","WP_003014057.1",246,"1-acyl-sn-glycerol-3-phosphate acyltransferase"
"chromosome","NC_007880.1",82837,83589,"-",,,"FTL_RS00440","WP_003014060.1",250,"1-acyl-sn-glycerol-3-phosphate acyltransferase"
"chromosome","NC_007880.1",83752,84075,"-",,,"FTL_RS00445","WP_003014068.1",107,"MULTISPECIES: ferredoxin family protein"
"chromosome","NC_007880.1",84308,84949,"+",,,"FTL_RS00450","WP_011457340.1",213,"membrane protein"
"chromosome","NC_007880.1",85682,86842,"-",,"purT","FTL_RS00460","WP_003014073.1",386,"formate-dependent phosphoribosylglycinamide formyltransferase"
"chromosome","NC_007880.1",86896,89088,"-",,,"FTL_RS00465","WP_003014076.1",730,"chitinase"
"chromosome","NC_007880.1",89339,91918,"-",,"clpB","FTL_RS00470","WP_003014077.1",859,"ATP-dependent chaperone ClpB"
"chromosome","NC_007880.1",92864,93217,"+",,,"FTL_RS00480","WP_003014078.1",117,"hypothetical protein"
"chromosome","NC_007880.1",93272,94081,"-",,"trpA","FTL_RS00485","WP_003014080.1",269,"tryptophan synthase subunit alpha"
"chromosome","NC_007880.1",94081,95271,"-",,"trpB","FTL_RS00490","WP_003014081.1",396,"tryptophan synthase subunit beta"
"chromosome","NC_007880.1",95358,96863,"-",,,"FTL_RS00495","WP_003014083.1",501,"carboxypeptidase M32"
"chromosome","NC_007880.1",98687,99097,"-",,,"FTL_RS00510","WP_003014086.1",136,"DUF3568 domain-containing protein"
"chromosome","NC_007880.1",99118,99510,"-",,,"FTL_RS00515","WP_003014087.1",130,"DUF3568 domain-containing protein"
"chromosome","NC_007880.1",100311,101191,"+",,,"FTL_RS10125","WP_011457326.1",293,"IS630 family transposase"
"chromosome","NC_007880.1",101192,102064,"-",,,"FTL_RS00535","WP_011457343.1",290,"MFS transporter"
"chromosome","NC_007880.1",102852,103406,"+",,"tssB","FTL_RS00550","WP_003016161.1",184,"type VI secretion system contractile sheath small subunit"
"chromosome","NC_007880.1",103420,104940,"+",,"tssC","FTL_RS00555","WP_010031646.1",506,"type VI secretion system contractile sheath large subunit"
"chromosome","NC_007880.1",104957,105586,"+",,,"FTL_RS00560","WP_003016165.1",209,"MULTISPECIES: hypothetical protein"
"chromosome","NC_007880.1",105607,106803,"+",,,"FTL_RS00565","WP_011457345.1",398,"hypothetical protein"
"chromosome","NC_007880.1",106810,107385,"-",,,"FTL_RS00570","WP_003016169.1",191,"hypothetical protein"
"chromosome","NC_007880.1",107403,111389,"-",,"pdpC","FTL_RS00575","WP_003016172.1",1328,"pathogenicity determinant protein PdpC"
"chromosome","NC_007880.1",111429,112202,"-",,,"FTL_RS00580","WP_003016175.1",257,"hypothetical protein"
"chromosome","NC_007880.1",112168,113319,"-",,,"FTL_RS00585","WP_003016179.1",383,"hypothetical protein"
"chromosome","NC_007880.1",113341,113964,"-",,,"FTL_RS00590","WP_003016181.1",207,"DotU family type IV/VI secretion system protein"
"chromosome","NC_007880.1",113977,115407,"-",,,"FTL_RS00595","WP_003016182.1",476,"hypothetical protein"
"chromosome","NC_007880.1",115420,115941,"-",,,"FTL_RS00600","WP_003016185.1",173,"DUF4280 domain-containing protein"
"chromosome","NC_007880.1",116009,117673,"-",,,"FTL_RS00605","WP_003016188.1",554,"hypothetical protein"
"chromosome","NC_007880.1",117678,118172,"-",,,"FTL_RS00610","WP_003016192.1",164,"hypothetical protein"
"chromosome","NC_007880.1",118185,118562,"-",,,"FTL_RS00615","WP_003018235.1",125,"hypothetical protein"
"chromosome","NC_007880.1",118552,121833,"-",,,"FTL_RS00620","WP_011457346.1",1093,"hypothetical protein"
"chromosome","NC_007880.1",121838,124300,"-",,,"FTL_RS00625","WP_003016195.1",820,"hypothetical protein"
"chromosome","NC_007880.1",129823,130587,"+",,,"FTL_RS00655","WP_101677567.1",254,"NAD-dependent formate dehydrogenase"
"chromosome","NC_007880.1",130645,131525,"+",,,"FTL_RS10130","WP_011457326.1",293,"IS630 family transposase"
"chromosome","NC_007880.1",132905,133792,"-",,,"FTL_RS00675","WP_003014097.1",295,"branched-chain amino acid transaminase"
"chromosome","NC_007880.1",134193,136826,"-",,,"FTL_RS00680","WP_003014099.1",877,"pyruvate, phosphate dikinase"
"chromosome","NC_007880.1",137653,139896,"-",,"feoB","FTL_RS00685","WP_003014101.1",747,"Fe(2+) transporter permease subunit FeoB"
"chromosome","NC_007880.1",139997,140470,"-",,,"FTL_RS00690","WP_003014103.1",157,"hypothetical protein"
"chromosome","NC_007880.1",140442,141322,"-",,,"FTL_RS10140","WP_011457329.1",293,"MULTISPECIES: IS630 family transposase"
"chromosome","NC_007880.1",141811,142443,"-",,,"FTL_RS00710","WP_003014106.1",210,"hypothetical protein"
"chromosome","NC_007880.1",143094,144062,"-",,,"FTL_RS00715","WP_003014110.1",322,"LPS protein"
"chromosome","NC_007880.1",144251,146101,"+",,,"FTL_RS00720","WP_003014113.1",616,"RNB domain-containing ribonuclease"
"chromosome","NC_007880.1",146438,147106,"+",,,"FTL_RS00725","WP_010032598.1",222,"carboxylesterase"
"chromosome","NC_007880.1",147103,148005,"+",,"hemC","FTL_RS00730","WP_003017764.1",300,"hydroxymethylbilane synthase"
"chromosome","NC_007880.1",148394,148801,"+",,,"FTL_RS00740","WP_003014122.1",135,"hypothetical protein"
"chromosome","NC_007880.1",148941,149102,"+",,,"FTL_RS00745","WP_010032603.1",53,"hypothetical protein"
"chromosome","NC_007880.1",149154,149531,"+",,,"FTL_RS00750","WP_010032606.1",125,"hypothetical protein"
"chromosome","NC_007880.1",149528,149701,"-",,,"FTL_RS00755","WP_003014123.1",57,"MULTISPECIES: zinc-finger domain-containing protein"
"chromosome","NC_007880.1",149830,151629,"+",,,"FTL_RS00760","WP_003014125.1",599,"ABC transporter permease subunit"
"chromosome","NC_007880.1",151648,152964,"+",,,"FTL_RS00765","WP_003014127.1",438,"nitrate/sulfonate/bicarbonate ABC transporter ATP-binding protein"
"chromosome","NC_007880.1",153051,154589,"+",,,"FTL_RS00770","WP_003014129.1",512,"DUF3573 domain-containing protein"
"chromosome","NC_007880.1",154683,156569,"+",,,"FTL_RS00775","WP_003014132.1",628,"sodium:proton antiporter"
"chromosome","NC_007880.1",156554,157093,"+",,,"FTL_RS00780","WP_003014133.1",179,"gamma carbonic anhydrase family protein"
"chromosome","NC_007880.1",157044,157688,"+",,"lolB","FTL_RS00785","WP_011648556.1",214,"outer membrane lipoprotein LolB"
"chromosome","NC_007880.1",157676,158503,"+",,"ispE","FTL_RS00790","WP_003014135.1",275,"4-(cytidine 5\\'-diphospho)-2-C-methyl-D-erythritol kinase"
"chromosome","NC_007880.1",159036,159916,"+",,,"FTL_RS10145","WP_011457329.1",293,"MULTISPECIES: IS630 family transposase"
"chromosome","NC_007880.1",159888,160157,"+",,,"FTL_RS00815","WP_003023112.1",89,"hypothetical protein"
"chromosome","NC_007880.1",160164,160511,"-",,,"FTL_RS00820","WP_010031825.1",115,"cytochrome b561"
"chromosome","NC_007880.1",160758,161753,"-",,,"FTL_RS00830","WP_003014140.1",331,"inorganic phosphate transporter"
"chromosome","NC_007880.1",161771,162427,"-",,,"FTL_RS00835","WP_003017784.1",218,"MULTISPECIES: hypothetical protein"
"chromosome","NC_007880.1",162734,164209,"+",,,"FTL_RS00840","WP_003014142.1",491,"alkaline phosphatase family protein"
"chromosome","NC_007880.1",164216,165028,"-",,,"FTL_RS00845","WP_003014144.1",270,"hydrolase"
"chromosome","NC_007880.1",165729,166346,"-",,,"FTL_RS00855","WP_003014146.1",205,"carboxyltransferase domain-containing protein"
"chromosome","NC_007880.1",166392,167090,"-",,,"FTL_RS00860","WP_003014147.1",232,"MFS transporter"
"chromosome","NC_007880.1",167216,167356,"-",,,"FTL_RS00865","WP_011457349.1",46,"hypothetical protein"
"chromosome","NC_007880.1",167422,168302,"-",,,"FTL_RS10150","WP_011457329.1",293,"MULTISPECIES: IS630 family transposase"
"chromosome","NC_007880.1",168385,168546,"-",,,"FTL_RS00880","WP_011457350.1",53,"hypothetical protein"
"chromosome","NC_007880.1",168662,169498,"-",,,"FTL_RS00885","WP_003014151.1",278,"universal stress protein"
"chromosome","NC_007880.1",169574,172315,"-",,,"FTL_RS00890","WP_011457351.1",913,"DEAD/DEAH box helicase"
"chromosome","NC_007880.1",172299,173051,"-",,,"FTL_RS00895","WP_010031504.1",250,"hypothetical protein"
"chromosome","NC_007880.1",173151,173714,"-",,,"FTL_RS00900","WP_003014157.1",187,"haloacid dehalogenase"
"chromosome","NC_007880.1",174113,174526,"+",,,"FTL_RS00905","WP_010031502.1",137,"hypothetical protein"
"chromosome","NC_007880.1",174537,175409,"-",,"rsmI","FTL_RS00910","WP_003014163.1",290,"16S rRNA (cytidine(1402)-2\\'-O)-methyltransferase"
"chromosome","NC_007880.1",175402,176757,"-",,"murC","FTL_RS00915","WP_003014165.1",451,"UDP-N-acetylmuramate--L-alanine ligase"
"chromosome","NC_007880.1",176824,177597,"-",,"aroE","FTL_RS00920","WP_003014167.1",257,"shikimate dehydrogenase"
"chromosome","NC_007880.1",177724,178182,"+",,,"FTL_RS00925","WP_003014169.1",152,"hypothetical protein"
"chromosome","NC_007880.1",178274,178408,"+",,"rpmH","FTL_RS00930","WP_003014180.1",44,"MULTISPECIES: 50S ribosomal protein L34"
"chromosome","NC_007880.1",178398,178751,"+",,"rnpA","FTL_RS00935","WP_003014181.1",117,"MULTISPECIES: ribonuclease P protein component"
"chromosome","NC_007880.1",178727,178975,"+",,"yidD","FTL_RS00940","WP_003021782.1",82,"membrane protein insertion efficiency factor YidD"
"chromosome","NC_007880.1",178984,180639,"+",,"yidC","FTL_RS00945","WP_003014183.1",551,"membrane protein insertase YidC"
"chromosome","NC_007880.1",180646,181545,"+",,,"FTL_RS00950","WP_003014184.1",299,"lysophospholipid acyltransferase family protein"
"chromosome","NC_007880.1",181606,182529,"+",,,"FTL_RS00955","WP_011457352.1",307,"lysophospholipid acyltransferase family protein"
"chromosome","NC_007880.1",182542,182949,"+",,,"FTL_RS00960","WP_003014190.1",135,"prepilin-type N-terminal cleavage/methylation domain-containing protein"
"chromosome","NC_007880.1",182989,183558,"+",,"efp","FTL_RS00965","WP_003014194.1",189,"elongation factor P"
"chromosome","NC_007880.1",183561,184097,"+",,"orn","FTL_RS00970","WP_003014199.1",178,"oligoribonuclease"
"chromosome","NC_007880.1",184132,184326,"+",,,"FTL_RS00975","WP_003023117.1",64,"hypothetical protein"
"chromosome","NC_007880.1",184350,185230,"+",,,"FTL_RS10160","WP_011457326.1",293,"IS630 family transposase"
"chromosome","NC_007880.1",185208,186326,"-",,,"FTL_RS00990","WP_003014202.1",372,"MFS transporter"
"chromosome","NC_007880.1",186394,187134,"-",,,"FTL_RS00995","WP_003014206.1",246,"transporter substrate-binding domain-containing protein"
"chromosome","NC_007880.1",187213,187311,"-",,,"FTL_RS01000","WP_003014214.1",32,"CydX/CbdX family cytochrome bd oxidase small subunit"
"chromosome","NC_007880.1",187327,188520,"-",,"cydB","FTL_RS01005","WP_003014216.1",397,"cytochrome d ubiquinol oxidase subunit II"
"chromosome","NC_007880.1",188531,190285,"-",,,"FTL_RS01010","WP_003014219.1",584,"cytochrome ubiquinol oxidase subunit I"
"chromosome","NC_007880.1",190738,192105,"-",,,"FTL_RS01015","WP_003014222.1",455,"MFS transporter"
"chromosome","NC_007880.1",192465,193367,"+",,"cyoA","FTL_RS01020","WP_003014224.1",300,"ubiquinol oxidase subunit II"
"chromosome","NC_007880.1",193406,195436,"+",,"cyoB","FTL_RS01025","WP_003014227.1",676,"cytochrome o ubiquinol oxidase subunit I"
"chromosome","NC_007880.1",195433,196035,"+",,"cyoC","FTL_RS01030","WP_003014231.1",200,"cytochrome o ubiquinol oxidase subunit III"
"chromosome","NC_007880.1",196037,196369,"+",,"cyoD","FTL_RS01035","WP_003014233.1",110,"cytochrome o ubiquinol oxidase subunit IV"
"chromosome","NC_007880.1",196400,197248,"+",,"cyoE","FTL_RS01040","WP_003014236.1",282,"protoheme IX farnesyltransferase"
"chromosome","NC_007880.1",197393,198436,"-",,"lpxD","FTL_RS01045","WP_003014238.1",347,"UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase"
"chromosome","NC_007880.1",198511,199206,"-",,,"FTL_RS01050","WP_003014240.1",231,"hypothetical protein"
"chromosome","NC_007880.1",199206,200057,"-",,"pdxY","FTL_RS01055","WP_010031087.1",283,"pyridoxal kinase"
"chromosome","NC_007880.1",200064,200498,"-",,,"FTL_RS01060","WP_003014244.1",144,"DUF3568 family protein"
"chromosome","NC_007880.1",200644,201600,"+",,,"FTL_RS01065","WP_003014246.1",318,"MoxR family ATPase"
"chromosome","NC_007880.1",201613,202524,"+",,,"FTL_RS01070","WP_003014248.1",303,"DUF58 domain-containing protein"
"chromosome","NC_007880.1",202514,202990,"+",,,"FTL_RS01075","WP_003014250.1",158,"DUF4381 domain-containing protein"
"chromosome","NC_007880.1",202987,203988,"+",,,"FTL_RS01080","WP_003014253.1",333,"VWA domain-containing protein"
"chromosome","NC_007880.1",203990,204988,"+",,,"FTL_RS01085","WP_003014255.1",332,"VWA domain-containing protein"
"chromosome","NC_007880.1",204979,205713,"+",,,"FTL_RS01090","WP_011457353.1",244,"tetratricopeptide repeat protein"
"chromosome","NC_007880.1",205703,207328,"+",,,"FTL_RS01095","WP_003014257.1",541,"protein BatD"
"chromosome","NC_007880.1",207335,208003,"+",,"pcp","FTL_RS01100","WP_010031082.1",222,"pyroglutamyl-peptidase I"
"chromosome","NC_007880.1",208011,208493,"+",,,"FTL_RS01105","WP_003014260.1",160,"transporter suffix domain-containing protein"
"chromosome","NC_007880.1",208527,208964,"+",,,"FTL_RS01110","WP_003017717.1",145,"DNA polymerase III subunit chi"
"chromosome","NC_007880.1",209096,211855,"+",,,"FTL_RS01115","WP_010031079.1",919,"valine--tRNA ligase"
"chromosome","NC_007880.1",211884,212771,"+",,,"FTL_RS01120","WP_003014262.1",295,"hypothetical protein"
"chromosome","NC_007880.1",213927,214208,"+",,,"FTL_RS01130","WP_003014264.1",93,"hypothetical protein"
"chromosome","NC_007880.1",214205,215362,"-",,,"FTL_RS01135","WP_003014268.1",385,"alpha-hydroxy-acid oxidizing protein"
"chromosome","NC_007880.1",215352,216035,"-",,"nfsB","FTL_RS01140","WP_003014271.1",227,"oxygen-insensitive NAD(P)H nitroreductase"
"chromosome","NC_007880.1",216175,216552,"+",,,"FTL_RS01145","WP_003017708.1",125,"MULTISPECIES: NUDIX domain-containing protein"
"chromosome","NC_007880.1",216725,218116,"+",,"fumC","FTL_RS01150","WP_010030898.1",463,"class II fumarate hydratase"
"chromosome","NC_007880.1",218246,219652,"+",,"gltX","FTL_RS01155","WP_003014275.1",468,"glutamate--tRNA ligase"
"chromosome","NC_007880.1",221659,222966,"+",,,"FTL_RS01170","WP_080502282.1",435,"APC family permease"
"chromosome","NC_007880.1",223460,224383,"-",,,"FTL_RS01180","WP_003014284.1",307,"hypothetical protein"
"chromosome","NC_007880.1",224465,225007,"-",,,"FTL_RS01185","WP_003014286.1",180,"dihydrofolate reductase"
"chromosome","NC_007880.1",225200,225919,"+",,"rpsB","FTL_RS01190","WP_003014289.1",239,"30S ribosomal protein S2"
"chromosome","NC_007880.1",225941,226810,"+",,,"FTL_RS01195","WP_003017693.1",289,"elongation factor Ts"
"chromosome","NC_007880.1",226814,227563,"+",,,"FTL_RS01200","WP_003014296.1",249,"UMP kinase"
"chromosome","NC_007880.1",227593,228150,"+",,"frr","FTL_RS01205","WP_003014302.1",185,"ribosome recycling factor"
"chromosome","NC_007880.1",228234,228956,"+",,"uppS","FTL_RS01210","WP_003028456.1",240,"di-trans,poly-cis-decaprenylcistransferase"
"chromosome","NC_007880.1",228970,229764,"+",,,"FTL_RS01215","WP_003014308.1",264,"phosphatidate cytidylyltransferase"
"chromosome","NC_007880.1",229774,230220,"+",,"dut","FTL_RS01220","WP_003014311.1",148,"dUTP diphosphatase"
"chromosome","NC_007880.1",230224,230820,"+",,"pgsA","FTL_RS01225","WP_003014315.1",198,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase"
"chromosome","NC_007880.1",230955,231329,"+",,"rpsL","FTL_RS01230","WP_003014323.1",124,"30S ribosomal protein S12"
"chromosome","NC_007880.1",231368,231841,"+",,"rpsG","FTL_RS01235","WP_003021606.1",157,"MULTISPECIES: 30S ribosomal protein S7"
"chromosome","NC_007880.1",231856,233970,"+",,"fusA","FTL_RS01240","WP_003043247.1",704,"elongation factor G"
"chromosome","NC_007880.1",233997,234308,"+",,"rpsJ","FTL_RS01245","WP_024533505.1",103,"MULTISPECIES: 30S ribosomal protein S10"
"chromosome","NC_007880.1",234412,235044,"+",,"rplC","FTL_RS01250","WP_003027202.1",210,"MULTISPECIES: 50S ribosomal protein L3"
"chromosome","NC_007880.1",235077,235700,"+",,"rplD","FTL_RS01255","WP_003021600.1",207,"MULTISPECIES: 50S ribosomal protein L4"
"chromosome","NC_007880.1",235697,235996,"+",,"rplW","FTL_RS01260","WP_003027200.1",99,"MULTISPECIES: 50S ribosomal protein L23"
"chromosome","NC_007880.1",236018,236842,"+",,"rplB","FTL_RS01265","WP_011457354.1",274,"50S ribosomal protein L2"
"chromosome","NC_007880.1",236857,237135,"+",,"rpsS","FTL_RS01270","WP_003027195.1",92,"MULTISPECIES: 30S ribosomal protein S19"
"chromosome","NC_007880.1",237151,237486,"+",,"rplV","FTL_RS01275","WP_003027193.1",111,"MULTISPECIES: 50S ribosomal protein L22"
"chromosome","NC_007880.1",237501,238172,"+",,"rpsC","FTL_RS01280","WP_003017796.1",223,"30S ribosomal protein S3"
"chromosome","NC_007880.1",238172,238585,"+",,"rplP","FTL_RS01285","WP_010030778.1",137,"50S ribosomal protein L16"
"chromosome","NC_007880.1",238585,238785,"+",,"rpmC","FTL_RS01290","WP_003014341.1",66,"50S ribosomal protein L29"
"chromosome","NC_007880.1",238798,239049,"+",,"rpsQ","FTL_RS01295","WP_010030776.1",83,"30S ribosomal protein S17"
"chromosome","NC_007880.1",239141,239509,"+",,"rplN","FTL_RS01300","WP_003014346.1",122,"MULTISPECIES: 50S ribosomal protein L14"
"chromosome","NC_007880.1",239531,239848,"+",,"rplX","FTL_RS01305","WP_003014349.1",105,"50S ribosomal protein L24"
"chromosome","NC_007880.1",239860,240399,"+",,"rplE","FTL_RS01310","WP_003014352.1",179,"MULTISPECIES: 50S ribosomal protein L5"
"chromosome","NC_007880.1",240418,240723,"+",,"rpsN","FTL_RS01315","WP_003014354.1",101,"30S ribosomal protein S14"
"chromosome","NC_007880.1",240740,241138,"+",,"rpsH","FTL_RS01320","WP_003014356.1",132,"MULTISPECIES: 30S ribosomal protein S8"
"chromosome","NC_007880.1",241157,241693,"+",,"rplF","FTL_RS01325","WP_003014357.1",178,"50S ribosomal protein L6"
"chromosome","NC_007880.1",241716,242069,"+",,"rplR","FTL_RS01330","WP_003014360.1",117,"50S ribosomal protein L18"
